Tag_A,Attr_A_Name,Attr_A_Value,Relationship,Rel_Att_Name_1,Rel_Att_Value_1,Rel_Att_Name_2,Rel_Att_Value_2,Tag_B,Attr_B_Name,Attr_B_Value
IHO_Sea_Area,Name,Mediterranean Sea,Part_of,,,,,General_Sea_Area,Name,Mediterranean Sea Area
IHO_Sea_Area,Name,North Pacific Ocean,Part_of,,,,,Ocean,Name,Pacific Ocean
IHO_Sea_Area,Name,South Pacific Ocean,Part_of,,,,,Ocean,Name,Pacific Ocean
IHO_Sea_Area,Name,North Atlantic Ocean,Part_of,,,,,General_Sea_Area,Name,Atlantic Ocean
IHO_Sea_Area,Name,South Atlantic Ocean,Part_of,,,,,General_Sea_Area,Name,Atlantic Ocean
IHO_Sea_Area,Name,North Sea,Part_of,,,,,IHO_Sea_Area,Name,North Atlantic Ocean
IHO_Sea_Area,Name,Celtic Sea,Part_of,,,,,IHO_Sea_Area,Name,North Atlantic Ocean
Sea,Name,Iceland Sea,Part_of,,,,,IHO_Sea_Area,Name,Arctic Ocean
IHO_Sea_Area,Name,Norwegian Sea,Part_of,,,,,IHO_Sea_Area,Name,Arctic Ocean
Sea,Name,Wadden Sea,Part_of,,,,,IHO_Sea_Area,Name,North Sea
Sea,Name,Wadden Sea,Part_of,,,,,Nation,Name,Netherlands
Sea,Name,Irminger Sea,Part_of,,,,,IHO_Sea_Area,Name,North Atlantic Ocean
IHO_Sea_Area,Name,Greenland Sea,Part_of,,,,,IHO_Sea_Area,Name,Arctic Ocean
IHO_Sea_Area,Name,Irish Sea and St. George's Channel,Part_of,,,,,IHO_Sea_Area,Name,North Atlantic Ocean
Sea,Name,Sea of the Hebrides,Part_of,,,,,IHO_Sea_Area,Name,Inner Seas off the West Coast of Scotland
IHO_Sea_Area,Name,Bay of Biscay,Part_of,,,,,IHO_Sea_Area,Name,North Atlantic Ocean
IHO_Sea_Area,Name,Kattegat,Part_of,,,,,IHO_Sea_Area,Name,Baltic Sea
IHO_Sea_Area,Name,Kattegat,Adjacent_to,,,,,Nation,Name,Denmark
IHO_Sea_Area,Name,Kattegat,Adjacent_to,,,,,Nation,Name,Sweden
Strait,Name,Dover Strait,Part_of,,,,,IHO_Sea_Area,Name,English Channel
Strait,Name,Dover Strait,Part_of,,,,,IHO_Sea_Area,Name,North Sea
Strait,Name,Femer Baelt,Adjacent_to,,,,,Nation,Name,Denmark
Strait,Name,Denmark Strait,Part_of,,,,,IHO_Sea_Area,Name,North Atlantic Ocean
Strait,Name,Denmark Strait,Adjacent_to,,,,,Nation,Name,Iceland
Strait,Name,Bornholm Strait,Part_of,,,,,IHO_Sea_Area,Name,Baltic Sea
Strait,Name,Bornholm Strait,Adjacent_to,,,,,Nation,Name,Sweden
IHO_Sea_Area,Name,Skagerrak,Part_of,,,,,IHO_Sea_Area,Name,North Atlantic Ocean
IHO_Sea_Area,Name,Skagerrak,Adjacent_to,,,,,Nation,Name,Denmark
IHO_Sea_Area,Name,Skagerrak,Adjacent_to,,,,,Nation,Name,Norway
IHO_Sea_Area,Name,English Channel,Part_of,,,,,IHO_Sea_Area,Name,North Atlantic Ocean
IHO_Sea_Area,Name,English Channel,Adjacent_to,,,,,Nation,Name,France
IHO_Sea_Area,Name,English Channel,Adjacent_to,,,,,Country,Name,England
Seachannel,Name,Faroe-Shetland Channel,Part_of,,,,,IHO_Sea_Area,Name,North Atlantic Ocean
IHO_Sea_Area,Name,Baltic Sea,Part_of,,,,,General_Sea_Area,Name,Atlantic Ocean
IHO_Sea_Area,Name,Gulf of Bothnia,Part_of,,,,,IHO_Sea_Area,Name,Baltic Sea
Sea,Name,Archipelago Sea,Part_of,,,,,IHO_Sea_Area,Name,Baltic Sea
Sea,Name,Archipelago Sea,Adjacent_to,,,,,IHO_Sea_Area,Name,Gulf of Bothnia
Sea,Name,Archipelago Sea,Adjacent_to,,,,,IHO_Sea_Area,Name,Gulf of Finland
IHO_Sea_Area,Name,Gulf of Finland,Part_of,,,,,IHO_Sea_Area,Name,Baltic Sea
IHO_Sea_Area,Name,Gulf of Riga,Part_of,,,,,IHO_Sea_Area,Name,Baltic Sea
Sea,Name,Northern Baltic,Part_of,,,,,IHO_Sea_Area,Name,Baltic Sea
Sea,Name,Southern Baltic,Part_of,,,,,IHO_Sea_Area,Name,Baltic Sea
Sea,Name,South Eastern Baltic,Part_of,,,,,IHO_Sea_Area,Name,Baltic Sea
Strait,Name,Northern Belt Sea,Adjacent_to,,,,,Nation,Name,Denmark
Strait,Name,Great Belt,Adjacent_to,,,,,Nation,Name,Denmark
Strait,Name,Little Belt,Adjacent_to,,,,,Nation,Name,Denmark
IHO_Sea_Area,Name,Bristol Channel,Part_of,,,,,IHO_Sea_Area,Name,North Atlantic Ocean
IHO_Sea_Area,Name,Bristol Channel,Adjacent_to,,,,,Country,Name,England
Strait,Name,The Solent,Part_of,,,,,IHO_Sea_Area,Name,English Channel
Sea,Name,Baelt Sea,Part_of,,,,,IHO_Sea_Area,Name,Baltic Sea
Sea,Name,Baelt Sea,Adjacent_to,,,,,Nation,Name,Denmark
IHO_Sea_Area,Name,Adriatic Sea,Part_of,,,,,IHO_Sea_Area,Name,Mediterranean Sea - Eastern Basin
IHO_Sea_Area,Name,Aegean Sea,Part_of,,,,,IHO_Sea_Area,Name,Mediterranean Sea - Eastern Basin
IHO_Sea_Area,Name,Black Sea,Part_of,,,,,General_Sea_Area,Name,Mediterranean Sea Area
IHO_Sea_Area,Name,Sea of Azov,Part_of,,,,,IHO_Sea_Area,Name,Black Sea
IHO_Sea_Area,Name,Sea of Azov,Adjacent_to,,,,,Nation,Name,Ukraine
IHO_Sea_Area,Name,Sea of Azov,Adjacent_to,,,,,Nation,Name,Russia
IHO_Sea_Area,Name,Balearic Sea,Part_of,,,,,IHO_Sea_Area,Name,Mediterranean Sea - Western Basin
IHO_Sea_Area,Name,Alboran Sea,Part_of,,,,,IHO_Sea_Area,Name,Mediterranean Sea - Western Basin
IHO_Sea_Area,Name,Alboran Sea,Adjacent_to,,,,,Nation,Name,Spain
IHO_Sea_Area,Name,Alboran Sea,Adjacent_to,,,,,Nation,Name,Morocco
Strait,Name,Strait of Bonifacio,Part_of,,,,,IHO_Sea_Area,Name,Mediterranean Sea - Western Basin
Sea,Name,Catalan Sea,Part_of,,,,,IHO_Sea_Area,Name,Mediterranean Sea - Western Basin
Sea,Name,Catalan Sea,Adjacent_to,,,,,Nation,Name,Spain
Sea,Name,Crete Sea,Part_of,,,,,IHO_Sea_Area,Name,Aegean Sea
IHO_Sea_Area,Name,Strait of Gibraltar,Part_of,,,,,IHO_Sea_Area,Name,Mediterranean Sea - Western Basin
General_Sea_Area,Name,The Hole,Part_of,,,,,IHO_Sea_Area,Name,North Sea
